exp_TCD_1e6_per_mL,exp_viability_frac,exp_glucose_g_L,exp_lactate_g_L,exp_titer_g_L,exp_ammonium_g_L,exp_ammonium_mM,model_Xv,model_TCD,model_G,model_Lac,model_NH4_gL,model_NH4_mM,model_P,model_viability,time_h,batch_id,ml_correction,ml_correction_abs
0.4,0.96,4.0,0.15,0.0,0.04,2.2222222222222223,0.384,0.4,4.0,0.15,0.04,2.2222222222222223,0.0,0.96,0,CHO04,0.10603428312482471,0.000333973312618373
1.8,0.95,1.5,1.2,0.02,0.1,5.555555555555556,1.2843917910835345,1.348468115712015,3.466502619314359,0.5767979045485128,0.04,2.2222222222222223,0.0034836462558985757,0.9524821359275172,24,CHO04,0.10684309412240658,0.001481242953156237
4.0,0.94,1.0,3.0,0.08,0.2,11.111111111111112,3.9502926150834177,4.182966176565873,1.3725270978744462,1.8499783217004429,0.04239999999999999,2.355555555555555,0.015344964940271535,0.9443759400241013,48,CHO04,0.09692146571922605,0.006768798172679905
7.5,0.93,0.8,5.5,0.2,0.35,19.444444444444446,10.002357456731614,10.701929976648799,0.0,4.800839675393227,0.04466628571428571,2.4814603174603174,0.0766067656698758,0.934631181343587,72,CHO04,0.10131308666440683,0.04945662119205235
11.0,0.92,0.6,7.8,0.45,0.55,30.55555555555556,8.295012581508665,9.157703048235785,0.6944797444105137,4.684241918530176,0.04670909453451295,2.5949496963618306,0.5376129178793139,0.9057961955980528,96,CHO04,-0.07232044805239869,-0.04133602637336398
14.5,0.91,0.5,9.5,0.85,0.8,44.44444444444445,15.870913430381888,17.763269310167885,0.0,8.479258677348458,0.048472066027635624,2.692892557090868,0.5302315936642573,0.893468040891392,120,CHO04,0.05988134445130938,0.05115428871542249
17.0,0.89,0.4,10.8,1.4,1.1,61.11111111111112,13.257654496081829,15.307370812053941,0.652841276345039,8.221105386660568,0.04985041935994121,2.769467742218956,0.9054151471538466,0.8660961218527454,144,CHO04,-0.06511269189503877,-0.11706186162454801
18.5,0.86,0.4,11.0,2.1,1.45,80.55555555555556,16.88510311791366,19.784990608565344,0.0,9.386835767806323,0.05107528862360297,2.8375160346446098,1.6807729109456127,0.853429928372255,168,CHO04,-0.09605941833879605,-0.25602799549286814
19.0,0.82,0.4,10.5,2.9,1.8,100.00000000000001,14.63080526012344,17.667876983618683,0.0,8.888130191791145,0.052138827402153,2.8966015223418333,2.409280622032509,0.8281020562735886,192,CHO04,-0.033376705927695795,-0.10735010150200175
18.5,0.77,0.4,9.8,3.75,2.15,119.44444444444444,12.609073418655393,15.963201451913951,0.0,8.46878564829857,0.05317081740519534,2.9539343002886302,3.108967941823041,0.7898837496123683,216,CHO04,0.14014258494084647,0.5337920993364387
17.5,0.72,0.4,8.5,4.65,2.5,138.88888888888889,10.90612055141764,14.838945380103889,0.0,8.250013128265206,0.054030791536878314,3.0017106409376844,4.342713560017002,0.7349660149056554,240,CHO04,0.2552013004883271,1.2528186890173592
16.0,0.66,0.4,7.0,5.55,2.85,158.33333333333334,9.244206393309,14.025723220617325,0.0,8.124545871338617,0.05485743283728781,3.047635157627101,6.161957814171083,0.6590894635451197,264,CHO04,0.297739330975623,1.9625522879356723
14.5,0.6,0.4,5.5,6.4,3.2,177.7777777777778,7.537335289204449,13.443151734102269,0.0,8.06396775605648,0.055664255313780324,3.0924586285433517,8.554064002242418,0.5606821553671759,288,CHO04,0.31497988330178395,2.803307289147744
