mu,qG,qL,qNH4,qP,kd,dVdt,T_phase,time_h
0.12867578358127696,0.07869159287628476,0.047214955725770856,0.0,0.00041623306829132725,0.0015,0.0,0,0
0.12013570937135384,0.07366802276666534,0.04420081365999921,0.0,0.0004426201706995982,0.0015,0.0,0,12
0.09990164432226542,0.061765638562721686,0.03705938313763301,3.1250501262508424e-05,0.0006298140481017941,0.0015,0.010199999999999987,0,24
0.0,0.003,0.0018,2.1153160561595407e-05,0.0027798457196230504,0.0015,0.015400000000000006,0,36
0.03756581499385231,0.025097525233133574,0.015058515139880144,2.8803808006462775e-05,0.0016691566775088019,0.0015,0.020600000000000025,0,48
0.0,0.003,0.0018,2.4756859683527617e-05,0.0020268686093975084,0.0015,0.025799999999999972,0,60
0.05136010123712003,0.03321180648547856,0.019927083891287133,3.043391761768814e-05,0.000757545456646455,0.0015,0.03099999999999999,0,72
0.0,0.003,0.0018,2.167351307931795e-05,0.0013780106243339806,0.0015,0.03620000000000001,0,84
0.028268900746149003,0.02087639364036298,0.00939437713816334,2.5440764890211035e-05,0.004177075250139408,0.00105,0.040700000000000035,1,96
0.0,0.0024000000000000002,0.00108,1.9040562023692184e-05,0.0037224316612488356,0.001234508678380274,0.040560000000000006,1,108
0.0,0.0024000000000000002,0.00108,1.978148953413819e-05,0.0037721738543886915,0.0015854173861549127,0.04041999999999998,1,120
0.0,0.0024000000000000002,0.00108,1.8113404038423193e-05,0.0038184797382291957,0.002025933427498407,0.03527999999999998,1,132
0.0,0.0024000000000000002,0.00108,1.6372338101522272e-05,0.003847662296416605,0.0025693157695942702,0.030280000000000012,1,144
0.0,0.0024000000000000002,0.00108,1.4531646903794877e-05,0.003862751003939767,0.0032326812323565457,0.02513999999999994,1,156
0.0,0.0024000000000000002,0.00108,1.2532400638691986e-05,0.003865049836782204,0.004031891219426227,0.020140000000000047,1,168
0.0,0.0024000000000000002,0.00108,1.0276710982464288e-05,0.0038569518105253165,0.004979915390661765,0.015140000000000006,1,180
0.0,0.0024000000000000002,0.00108,7.6108072526204115e-06,0.003839983114477032,0.006083462374598935,0.009999999999999934,1,192
