exp_TCD_1e6_per_mL,exp_viability_frac,exp_glucose_g_L,exp_lactate_g_L,exp_titer_g_L,exp_ammonium_g_L,exp_ammonium_mM,model_Xv,model_TCD,model_G,model_Lac,model_NH4_gL,model_NH4_mM,model_P,model_viability,time_h,batch_id
0.2,0.96,3.0,0.05,0.0,0.00017999999999999998,0.01,0.192,0.2,3.0,0.05,0.0,0.0,0.0,0.96,0,CHO09
1.0,0.96,0.5,0.5,0.005,0.0007199999999999999,0.04,0.5424871071417657,0.5684507366060061,2.7781098240731823,0.18313410555609055,0.0,0.0,0.0007587738601745277,0.9543256296592051,24,CHO09
2.5,0.95,0.3,1.2,0.02,0.0018,0.1,1.4866755293674006,1.5673783311274336,2.0543962909365074,0.5433622254380954,0.0015999999999999999,0.08888888888888889,0.0029216584813287457,0.9485109624413509,48,CHO09
4.8,0.95,0.2,2.0,0.05,0.00324,0.18,3.791681995175731,4.023841890288218,1.5750372243041495,1.4284521269559718,0.004549907692307692,0.25277264957264955,0.00974409798831366,0.9423039221116468,72,CHO09
7.5,0.94,0.1,2.8,0.1,0.005399999999999999,0.3,8.648346428126278,9.245474290420074,0.0,3.3189503572413286,0.008326499921059556,0.46258332894775317,0.02715408003668504,0.9354140367993317,96,CHO09
10.5,0.93,0.1,3.5,0.18,0.0081,0.45,7.365640036235309,8.029526990986454,0.9185469020246382,3.2560568466693502,0.012368840542795365,0.6871578079330759,0.1763851666874943,0.9173192947110843,120,CHO09
13.0,0.92,0.1,4.0,0.3,0.0117,0.65,11.655904533376088,12.821147381182861,0.0,4.942311637580124,0.01626961075322745,0.9038672640681917,0.4192424565657883,0.9091155562631658,144,CHO09
11.0,0.9,0.1,4.3,0.47,0.0162,0.9,9.740956833788779,10.89784800432724,0.0,4.563461086477392,0.019784933785758983,1.0991629880977214,0.7001631658647164,0.8938422365517402,168,CHO09
10.5,0.88,0.1,4.4,0.7,0.021599999999999998,1.2,8.123374934351864,9.243774191979675,0.0,4.173802336435681,0.022824171125737695,1.2680095069854276,0.8861900784093453,0.8787941771013921,192,CHO09
9.5,0.85,0.1,4.3,1.0,0.027899999999999998,1.55,6.779665726646221,7.853425650109175,0.0,3.7986935829215347,0.02539480489879401,1.4108224943774452,1.002381852745152,0.8632749616152504,216,CHO09
8.0,0.82,0.1,4.1,1.38,0.0351,1.9500000000000002,5.729035189783082,6.827353022077766,0.0,3.5132580735158343,0.027387472112450545,1.5215262284694748,1.0852152934126205,0.8391297727328544,240,CHO09
