exp_TCD_1e6_per_mL,exp_viability_frac,exp_glucose_g_L,exp_lactate_g_L,exp_titer_g_L,exp_ammonium_g_L,exp_ammonium_mM,model_Xv,model_TCD,model_G,model_Lac,model_NH4_gL,model_NH4_mM,model_P,time_h
0.2,0.96,3.0,0.05,0.0,0.00017999999999999998,0.01,0.192,0.2,3.0,0.05,0.0,0.0,0.0,0
1.0,0.96,0.5,0.49999999999999994,0.005,0.0007199999999999999,0.04,0.5424871071417657,0.5684507366060061,2.7781098240731823,0.18313410555609055,0.0,0.0,0.0007587738601745277,24
2.5,0.95,0.3,1.2,0.02,0.0018,0.1,1.4866755293674006,1.5673783311274336,2.0543962909365074,0.5433622254380954,0.0007999999999999999,0.044444444444444446,0.0029216584813287457,48
4.8,0.95,0.2,2.0,0.05,0.00324,0.18,3.801434941743934,4.034124266512,1.5693002002858085,1.4318943413669762,0.002274953846153846,0.12638632478632478,0.00978307243163858,72
7.5,0.94,0.1,2.8,0.1,0.005399999999999999,0.3,8.72551784558608,9.327388095819867,0.0,3.3466664685816068,0.004163249960529778,0.23129166447387658,0.027570264761169003,96
10.5,0.93,0.1,3.5,0.18,0.0081,0.45,7.431365534955657,8.10066764756408,0.9129905599675323,3.2834615926797452,0.006184420271397683,0.343578903966538,0.18195167181878466,120
13.0,0.92,0.1,4.0,0.3,0.0117,0.65,12.417506197734951,13.651560037197552,0.0,5.217091490057355,0.008134805376613725,0.45193363203409587,0.43661246420990674,144
11.0,0.9,0.1,4.3,0.47,0.0162,0.9,10.377435016654658,11.603690518812309,0.0,4.820710091637076,0.009892466892879492,0.5495814940488607,0.7466000238945443,168
10.5,0.88,0.1,4.4,0.7,0.021599999999999998,1.2,8.654159641149858,9.842484030510029,0.0,4.411803141763517,0.011412085562868848,0.6340047534927138,0.956013463670378,192
9.5,0.85,0.1,4.3,1.0,0.027899999999999998,1.55,7.225100837518342,8.36208402981804,0.0,4.017406408628142,0.012695795865171507,0.7053219925095282,1.0903067674010791,216
8.0,0.82,0.1,4.1,1.38,0.0351,1.9500000000000002,6.108720154820365,7.269553722846128,0.0,3.7172502537604104,0.013690100319249632,0.7605611288472018,1.1881903569141548,240
