time_h,V,TCD,Xv,G,Lac,NH4,P,viability,NH4_mM
0,1.5,0.2,0.192,3.0,0.05,0.0,0.0,0.96,0.0
24,1.5,0.5684507366060061,0.5424871071417657,2.7781098240731823,0.18313410555609055,0.0,0.0007587738601745277,0.9543256296592051,0.0
48,1.56,1.5673783311274336,1.4866755293674006,2.0543962909365074,0.5433622254380954,0.0007999999999999999,0.0029216584813287457,0.9485109624413509,0.044444444444444446
72,1.68384,4.034124266512,3.801434941743934,1.5693002002858085,1.4318943413669762,0.002274953846153846,0.00978307243163858,0.942319742924217,0.12638632478632478
96,1.86864,9.327388095819867,8.72551784558608,0.0,3.3466664685816068,0.004163249960529778,0.027570264761169003,0.9354727985958342,0.23129166447387658
120,2.1144000000000003,8.10066764756408,7.431365534955657,0.9129905599675323,3.2834615926797452,0.006184420271397683,0.18195167181878466,0.9173769198135556,0.343578903966538
144,2.4177600000000004,13.651560037197552,12.417506197734951,0.0,5.217091490057355,0.008134805376613725,0.43661246420990674,0.9096034565939666,0.45193363203409587
168,2.7804480000000003,11.603690518812309,10.377435016654658,0.0,4.820710091637076,0.009892466892879492,0.7466000238945443,0.8943219400612588,0.5495814940488607
192,3.2024640000000004,9.842484030510029,8.654159641149858,0.0,4.411803141763517,0.011412085562868848,0.956013463670378,0.8792658046813623,0.6340047534927138
216,3.6841440000000003,8.36208402981804,7.225100837518342,0.0,4.017406408628142,0.012695795865171507,1.0903067674010791,0.8640311209208885,0.7053219925095282
240,4.165488,7.269553722846128,6.108720154820365,0.0,3.7172502537604104,0.013690100319249632,1.1881903569141548,0.8403157040606778,0.7605611288472018
