time_h,volume_L,TCD_1e6_per_mL,viability_frac,glucose_g_L,lactate_g_L,ammonium_g_L,feed_glucose_gph,feed_other_gph,titer_g_L
0,2.5,0.60,0.97,3.5,0.08,0.02,0.0,0.0,0.000
12,2.5,1.20,0.97,2.8,0.40,0.03,0.0,0.0,0.005
24,2.5,2.50,0.96,1.5,1.20,0.05,0.1,1.5,0.020
36,2.5,4.20,0.96,0.8,2.50,0.08,0.2,2.0,0.050
48,2.6,6.50,0.95,0.5,4.00,0.12,0.3,2.5,0.100
60,2.7,9.00,0.94,0.4,5.50,0.18,0.4,3.0,0.180
72,2.8,11.5,0.93,0.3,6.80,0.25,0.3,3.5,0.300
84,2.9,13.0,0.92,0.3,7.20,0.35,0.2,4.0,0.480
96,3.0,14.0,0.91,0.3,7.50,0.48,0.2,4.0,0.720
108,3.1,14.5,0.90,0.3,7.60,0.62,0.2,4.0,1.020
120,3.2,14.8,0.89,0.3,7.55,0.78,0.2,4.0,1.380
132,3.3,15.0,0.87,0.3,7.40,0.95,0.2,4.0,1.800
144,3.4,14.8,0.85,0.3,7.20,1.12,0.2,4.0,2.280
156,3.5,14.5,0.82,0.3,6.90,1.30,0.1,4.0,2.820
168,3.6,14.0,0.79,0.3,6.50,1.48,0.1,3.5,3.420
180,3.7,13.5,0.75,0.3,6.00,1.65,0.1,3.0,4.080
192,3.8,13.0,0.71,0.3,5.40,1.82,0.1,2.5,4.800
204,3.9,12.5,0.66,0.3,4.80,1.98,0.1,2.0,5.580
216,4.0,12.0,0.61,0.3,4.20,2.12,0.0,1.0,6.420
