time_h,volume_L,TCD_1e6_per_mL,viability_frac,glucose_g_L,lactate_g_L,ammonium_g_L,feed_glucose_gph,feed_other_gph,titer_g_L
0,1.5,0.25,0.96,4.0,0.1,0.02,0.0,0.0,0.000
24,1.5,1.2,0.955,2.5,0.6,0.05,0.1,1.0,0.008
48,1.6,3.0,0.95,1.0,1.5,0.12,0.2,2.0,0.035
72,1.7,5.8,0.945,0.4,2.4,0.22,0.3,3.0,0.090
96,1.8,8.5,0.94,0.2,3.2,0.35,0.4,4.0,0.180
120,1.9,11.2,0.935,0.1,3.8,0.50,0.3,5.0,0.300
144,2.0,12.8,0.93,0.1,4.2,0.70,0.2,5.0,0.480
168,2.1,12.5,0.92,0.1,4.4,0.95,0.1,4.5,0.720
192,2.2,11.8,0.91,0.1,4.3,1.25,0.1,4.0,1.020
216,2.3,10.5,0.90,0.1,4.1,1.60,0.0,3.5,1.380
240,2.4,9.0,0.88,0.1,3.8,2.00,0.0,3.0,1.800
