exp_TCD_1e6_per_mL,exp_viability_frac,exp_glucose_g_L,exp_lactate_g_L,exp_titer_g_L,exp_ammonium_g_L,exp_ammonium_mM,model_Xv,model_TCD,model_G,model_Lac,model_NH4_gL,model_NH4_mM,model_P,model_viability,time_h,batch_id
0.25,0.96,4.0,0.1,0.0,0.00035999999999999997,0.02,0.24,0.25,4.0,0.1,0.0,0.0,0.0,0.96,0,CHO01
1.2,0.955,2.5,0.6,0.008,0.0009,0.05,0.6291677183361294,0.6586830399334681,3.7317503292959633,0.23412483535201833,0.0,0.0,0.0006840132833825924,0.9551904029587281,24,CHO01
3.0,0.95,1.0,1.5,0.035,0.0021599999999999996,0.11999999999999998,1.576478402799201,1.6591282866456032,2.7440923975581457,0.5599538012209269,0.0032,0.1777777777777778,0.0024764563881195965,0.9501847539387672,48,CHO01
5.8,0.945,0.4,2.4,0.09,0.00396,0.22000000000000003,3.649323362657486,3.862546586188385,0.731714903692442,1.2799203259315566,0.008651851851851852,0.4806584362139918,0.007694151864424656,0.9447972422408216,72,CHO01
8.5,0.94,0.2,3.2,0.18,0.006299999999999999,0.35,6.58972588771199,7.025737014595475,1.77809500921991,2.3609350043506185,0.014652253285543608,0.8140140714190894,0.03764829358854389,0.9379408699788074,96,CHO01
11.2,0.935,0.1,3.8,0.3,0.009,0.5,12.326473229236843,13.234797638400298,0.48469789710255173,4.429764213616817,0.019971620972554276,1.1095344984752376,0.052871266614976244,0.9313684701511428,120,CHO01
12.8,0.93,0.1,4.2,0.48,0.012599999999999998,0.7,14.357511187778261,15.563995005175462,0.0,5.295656470722017,0.024294021278767362,1.349667848820409,0.44064613595398655,0.9224823821264392,144,CHO01
12.5,0.92,0.1,4.4,0.72,0.017099999999999997,0.95,11.591209728307701,12.739864989880918,0.0,4.803374097132467,0.027063524164733205,1.503529120262956,0.7780661076130357,0.9098377210052402,168,CHO01
11.8,0.91,0.1,4.3,1.02,0.0225,1.25,9.86683686397209,10.98755306174663,0.0,4.521028378538799,0.0288088571714795,1.6004920650821945,1.0169856098980377,0.8980012936932852,192,CHO01
10.5,0.9,0.1,4.1,1.38,0.0288,1.6,8.69482944591783,9.805704532246644,0.0,4.356788879176351,0.02998269618326332,1.665705343514629,1.2065649253810944,0.8867113441287533,216,CHO01
9.0,0.88,0.1,3.8,1.8,0.036,2.0,7.8635502687565335,8.978238868661359,0.0,4.272935467939744,0.030828017896026808,1.7126676608903784,1.370367977448524,0.8758455175662948,240,CHO01
