time_h,correction,correction_abs,original_titer
0,0.09355263505529889,6.903165136328611e-05,0.0007378910420051938
24,0.09952257976322106,0.0002638933354304463,0.002651592593944885
48,0.09846295719489322,0.0007891322326973298,0.008014508757190354
72,0.09966576769315594,0.0032828777267197573,0.03293886961094656
96,0.10255546170857048,0.005109233602519719,0.049819224811629356
120,0.1125424747704645,0.0552007892518071,0.4904884965822163
144,0.1650648799470435,0.15760986836780533,0.9548358707095664
168,0.1329046901362158,0.18397782749039893,1.3842839353662946
192,0.17944701995918305,0.3173778898697577,1.768643970470774
216,0.26265713430855997,0.5880879827888839,2.2389948947589593
240,0.3333400184321483,0.9792017977604646,2.9375464799159188
