time_h,V,TCD,Xv,G,Lac,NH4,P,viability,ml_correction,ml_correction_abs,NH4_mM,batch_id
0,1.5,0.25,0.24,4.0,0.1,0.02,0.0,0.96,,,1.1111111111111112,CHO01
24,1.5,0.6331404297582831,0.6046468125679517,3.7470758858226016,0.22646205708869924,0.02,0.0008069226933684799,0.9549963707084548,0.09355263505529889,6.903165136328611e-05,1.1111111111111112,CHO01
48,1.62,1.5327387632351086,1.4557786182077972,2.8220860200793463,0.5209569899603268,0.021599999999999998,0.0029154859293753312,0.949789131146606,0.09952257976322106,0.0002638933354304463,1.2,CHO01
72,1.86,3.4553335422438476,3.2626219651491652,0.9881636705530634,1.151695942501246,0.024325925925925924,0.008803640989887684,0.9442277931381589,0.09846295719489322,0.0007891322326973298,1.351440329218107,CHO01
96,2.2344,6.4735219600033975,6.069412744185447,2.155393529087731,2.1722857444167083,0.027171287933094385,0.03622174733766632,0.937575060637048,0.09966576769315594,0.0032828777267197573,1.5095159962830216,CHO01
120,2.7336,12.256260481582567,11.411047915979982,1.1515433820793828,4.096341471128402,0.029693706955560947,0.054928458414149076,0.9310382994166383,0.10255546170857048,0.005109233602519719,1.6496503864200527,CHO01
144,3.34368,15.947088875202585,14.719318549397311,0.0,5.320398604488103,0.03184634935406526,0.5456892858340234,0.9230097520987399,0.1125424747704645,0.0552007892518071,1.7692416307814034,CHO01
168,3.9504,13.053445415791721,11.883306663140113,0.0,4.835436094459386,0.0332454613862877,1.1124457390773719,0.9103578622057894,0.1650648799470435,0.15760986836780533,1.8469700770159836,CHO01
192,4.49376,11.258001890800685,10.115479833257615,0.0,4.558214434281092,0.03414049634506319,1.5682617628566935,0.8985146681777816,0.1329046901362158,0.18397782749039893,1.8966942413923997,CHO01
216,4.97712,10.047063212736564,8.91393798502404,0.0,4.398090816811846,0.034740850989425656,2.086021860340532,0.887218264310702,0.17944701995918305,0.3173778898697577,1.9300472771903143,CHO01
240,5.39712,9.199230219087756,8.061710683781628,0.0,4.317903796744645,0.03518465033210601,2.827082877547843,0.8763462259107447,0.26265713430855997,0.5880879827888839,1.9547027962281116,CHO01
