exp_TCD_1e6_per_mL,exp_viability_frac,exp_glucose_g_L,exp_lactate_g_L,exp_titer_g_L,exp_ammonium_g_L,exp_ammonium_mM,model_Xv,model_TCD,model_G,model_Lac,model_NH4_gL,model_NH4_mM,model_P,model_viability,time_h,batch_id,ml_correction,ml_correction_abs
0.3,0.95,4.5,0.15,0.0,0.03,1.6666666666666667,0.285,0.3,4.5,0.15,0.03,1.6666666666666667,0.0,0.95,0,CHO02,0.08280353295220805,5.518439719567859e-05
1.5,0.945,3.0,0.8,0.01,0.06,3.3333333333333335,0.7179189030945572,0.7593041085205866,4.194551211880149,0.30883336982232257,0.03,1.6666666666666667,0.000721634187780454,0.9454958758136268,24,CHO02,0.11668949724193299,0.0002774238699076968
3.8,0.94,1.5,1.8,0.045,0.15,8.333333333333334,1.7128129182802725,1.820661505938424,3.0396797110148523,0.6703265502722764,0.030959999999999998,1.72,0.002654877509394312,0.9407640644313161,48,CHO02,0.11868356988004836,0.0008645244480706867
6.5,0.935,0.6,2.7,0.11,0.28,15.555555555555559,3.7567282108479203,4.015121440837155,0.8075530789052183,1.420273274881695,0.032609635036496346,1.8116463909164637,0.00814880523726879,0.9356449776683817,72,CHO02,0.12350491645267442,0.004374874707912306
9.2,0.93,0.3,3.5,0.22,0.45,25.000000000000004,6.64140192036993,7.146388660753307,1.5834845594114397,2.5315094500306254,0.033964765972785436,1.8869314429325243,0.039797551258515085,0.929336793119485,96,CHO02,0.1408912879059648,0.007894683122463865
11.5,0.925,0.2,4.0,0.38,0.65,36.111111111111114,11.87460275693655,12.863258689946242,0.25453861570035996,4.5326554970919455,0.03506084016889139,1.9478244538272995,0.06392854610860552,0.9231410984696737,120,CHO02,0.15905576826690226,0.07476988934360385
12.5,0.92,0.1,4.3,0.6,0.9,50.00000000000001,12.341036356424251,13.504362639908006,0.0,4.847826215107652,0.03605023022186976,2.0027905678816538,0.5448558859617011,0.9138555210265236,144,CHO02,0.13916807431267808,0.12043203491388343
12.0,0.91,0.1,4.4,0.88,1.2,66.66666666666667,9.930020560787625,11.008678804512552,0.10202881773173866,4.305541109559924,0.03670566266224002,2.039203481235557,0.985803173435934,0.9020174661392814,168,CHO02,0.14590551121229114,0.17549325952784
11.2,0.9,0.1,4.3,1.22,1.55,86.11111111111111,9.951317894897551,11.148541230649169,0.0,4.4493269730663485,0.03713923728700861,2.0632909603893674,1.378280310337038,0.8926116600385121,192,CHO02,0.172261945384322,0.2713985811333295
10.0,0.89,0.1,4.1,1.62,1.95,108.33333333333334,8.73770099416203,9.906645080964573,0.0,4.238838298230275,0.03743035944712535,2.0794644137291862,1.8468979203973233,0.882004040999849,216,CHO02,0.29056843760640844,0.5803839975834335
8.5,0.87,0.1,3.8,2.08,2.4,133.33333333333334,7.871772203861125,9.029485077337462,0.0,4.113891364317713,0.03765788207443849,2.0921045596910273,2.5777929466228224,0.871785283041,240,CHO02,0.3257885342857435,0.8732752387230263
